name,id
Lower Newcastle (Greenfields Entr),159
Thomas Hynes Rd (Clifton Pk),160
Thomas Hynes Rd (Fairlands Park),161
Thomas Hynes Rd (St Josephs School),162
Thomas Hynes Rd (Ardilaun Road),163
Thomas Hynes Rd (Opp Ardilaun Rd),164
Siobhain McKenna Rd (Corrib Pk),165
Siobhain McKenna Rd (Camillaun Pk),166
Siobhain McKenna Rd (Westside Pitches),167
Circular Rd (Opp Currach Bui),168
Seamus Quirke Rd (Op Rahoon Rd Jctn),169
Westside (Shopping Centre),170
Siobhain McKenna Rd (Gaelcarrig Pk),171
Siobhain McKenna Rd (Laurel Park),172
Thomas Hynes Rd (Opp St Josephs Sch),173
Thomas Hynes Rd (Hazel Park),174
Thomas Hynes Rd (Tudor Lawns),175
Lower Newcastle (Corrib Village),176
Lower Newcastle (St Francis Home),177
Lower Newcastle (AIB Bank),178
Newcastle Rd (NUIG West Gate),179
Dublin Rd (Glenina Heights),180
Dublin Rd (Opp Dawn Dairies),181
Dublin Rd (Opp Galway Crystal Jctn),182
Dublin Rd (Opp Coast Rd Jctn),183
Dublin Rd (Opp Castlegar Complex),184
Gort na Bro (B&Q Retail Park),185
Garrai de Brun (Op Garrai de Brun Ent),186
Bishop O Donnell Rd (Opp Droim Chaoin),187
Seamus Quirke Rd (Rahoon Rd Junc),188
Seamus Quirke Rd (Circular Rd Junc),189
Seamus Quirke Rd (Westside Shopp Cent),190
Seamus Quirke Rd (Corrib Park),191
Seamus Quirke Rd (Snipe Lawn),192
Tuam Rd (Riverside Estate),193
Tuam Rd (Opp Mervue Ind Est),194
Tuam Rd (Trappers Inn),195
Connolly Ave (Pearse Avenue),196
Connolly Ave (Opp Fahys Field),197
St James Road (Mervue Church),198
St James Rd (Bayview Heights),199
Ballybane Ind Est (Entrance),200
Ballybane Ind Est.(Hewlett Packard),201
St James Rd (Opp Bayview Hgts),202
St James Rd (HSE Clinic),203
Connolly Ave (Walter Macken Flats),204
Connolly Ave (Fahys Field),205
Connolly Ave (Opp Pearse Ave),206
Tuam Rd (Opp Trappers Inn),207
Tuam Rd (Mervue Industrial Est),208
Tuam Rd (Opp Riverside Est),209
Seamus Quirke Rd (Opp Snipe Lawn),210
Seamus Quirke Rd (Arch Motors),211
Seamus Quirke Rd (Westside Retail Pk),212
Seamus Quirke Rd (ESB Sub Station),213
Bishop O Donn Rd (Op Rahoon Rd Jnc),214
Bishop O Donnell Rd (Droim Chaoin),215
Garrai De Brun (Garrai De Brun Ent),216
Eyre Square East (Stop No 6),217
Headford Rd (Opp Woodquay),218
Headford Rd (Galway Retail Park),219
Headford Rd (Opp Dunnes Stores),220
Coolough Rd (Opp Menlo Park Hotel),221
Crestwood (Crestwood 48 to 62),222
Tirellan Heights (Ballinfoyle Rd),223
Tirellan Hts (Tirellan Hts 344-385),224
Tirellan Heights (Headford Rd Jctn),225
Headford Rd (Church),226
Headford Rd (Sceilig Ard),227
Bothair an Choiste (Cluain Riocard),228
Bothair an Choiste (Opp Maigh Riocard),229
Bothair an Choiste (Maigh Riocard),230
Bothair an Choiste (Lochan),231
Headford Rd (Ballinfoyle Mews),232
Headford Rd (Brookedale),233
Tirellan Heights (St Francis NS),234
Tirellan Heights Opp (344 to 385),235
Tirellan Heights (Ballinfoyle Road),236
Crestwood (Crestwood 47 to 33),237
Coolough Rd (Menlo Park Apartments),238
Headford Rd (Dunnes Stores),239
Headford Rd (Galway Shopping Centre),240
Headford Rd (Woodquay),241
Eyre Square North (Stop No 2),242
Eyre Square East (Stop No 8),243
Doughiska Rd (Amber Hse Hotel),244
Doughiska Rd (Merlin Woods Prm Sch),245
Doughiska Rd (Nestors Centra),246
Doughiska Rd (NCT Entrance),247
Doughiska Rd (Op Brierhill Shop Cen),248
Doughiska Rd (Brierhill Shop Centre),249
Doughiska Rd (Opp Nestors Centra),250
Doughiska Rd (Opp Primary School),251
Doughiska Rd (Opp An Fiodan),252
Doughiska Rd (Castan),253
