name,id
Carew Pk (Opp No 23 Maigue Way),175
Carew Pk (No 97 Donoughmore Crescent),176
Carew Pk (De Vere Court),177
Childers Rd (ALDI Store),178
Collins Ave (Olympic Arms Galvone),179
O Malley Pk (Southill Health Centre),180
O Malley Pk (Castle Oaks View),181
O Malley Pk (Outside No 391),182
University of Limerick (Stables),183
Plassey Pk Rd (UL East Gate),184
Plassey Pk Rd (Opp Oak Lawn),185
Plassey Pk Rd (National Tech Pk),186
Plassey PK Rd (Vistakon Ireland),187
Plassey Pk Rd (Op National Tech Pk),188
Kilmurry Hotel (Milford Rd),189
Dublin Rd (Opp The Hurlers Pub),190
Dublin Rd (Opp Elsinor Est),191
Dublin Rd (Jct Golf Links Rd),192
Dublin Rd (Groody Roundabout),193
Dublin Rd (Parkway Retail Pk),194
Childers Rd (Shopping Centre),195
Ballysimon Rd (Woodlawn Park),196
Ballysimon Rd (Tubs & Tiles),197
Mulgrave St (Munster Fair Tavern),198
Mulgrave St (St Josephs Hosp),199
Mulgrave St (Jerry O Deas Bar),200
Mulgrave St (Opp Fire Station),201
Sarsfield St (Debenhams),202
Avonmore Road,203
Mulcaire Rd (Raheen Food Store),204
Mulcaire Rd (Opp No 1 Castle Pk),205
Ballycummin (The Forts),206
Ballycummin (Rathmore),207
Ballycummin Rd (Opp Southland House),208
Church Rd (Forge Estate),209
Ballycummin Rd (Opp Dry Cleaners),210
Ballycummin (The Sanctuary),211
Ballycummin (Opp No 26 Rathmore),212
Ballycummin (Opp No 7 The Forts),213
Dooradoyle Rd (Cormac Byrnes),214
Mulcaire Rd (No 1 Castle Pk),215
Mulcaire Rd (No 1 Crescent Court),216
Avonmore Rd (Eircom Building),217
O Connell St Crescent (Tutorial College),218
Upr William St (Future Sound & Vision),219
Mulgrave St (College of Further Ed),220
Mulgrave St (Glynns Shop),221
Mulgrave St (Brannigans Pub),222
Mulgrave St (Ger Malones),223
Mulgrave St (St Patricks Rd),224
Childers Rd (Opp Shopping Centre),225
Childers Rd (Opp Claughaun GAA),226
Dublin Rd (Opp Parkway Retail Pk),227
Plassey Park Rd (Opp Nursing Home),228
University of Limerick (Flag Poles),229
University of Limerick (Dromroe Stop),230
Lynwood Park (Toghers Shop),231
Cathal Brugha Rd (Op No 1 Lynwood Pk),232
St Patricks Rd (St Brigids Church),233
Well Field (Opp Richmond RFC Pitch),234
Sth Claughan Rd (No 25),235
Sth Claughan Rd (No 7),236
Markets Field Terrace (No 9),237
Liddy St (Old Dunnes Stores),238
Athlunkard St (Dick Devanes Corner),239
The Island Rd (Opp Island Rd Stores),240
The Island Rd (Stores Coal Yard),241
St Itas St (Kings Island Creche),242
St Itas St (No 2),243
St Itas St (No 34),244
St Marys Pk (At No 122 St Itas St),245
St Itas St (No 82),246
St Itas St (No 58),247
St Itas St (No 14),248
The Island Rd (No 12),249
The Island Rd (Island Rd Stores),250
Markets Field Terrace (Opp No 9),251
Garryowen Stores,252
Sth Claughan Rd (Opp No 7),253
Sth Claughan Rd (Opp No 25),254
Well Field (Richmond RFC Pitch),255
St Patricks Rd (Op St Brigids Church),256
Edward St (Quins Cottage),257
Byrne Ave (Jctn of Byrne Ave),258
Ennis Rd (Strand Hotel),259
Shelbourne Rd (St Camillus Hosp),260
Shelbourne Rd (Opp Shelbourne Pk),261
Kileely Rd (Health Centre),262
Ballynanty Rd (Opp Credit Union),263
Ballynanty (No 31 Shanabooley Rd),264
Moylish Rd (Opp Community Centre),265
Ballynanty (Opp No 93 Shanabooly Rd),266
Ballynanty (Community Centre),267
Ballynanty Rd (No 32 Shanabooley Rd),268
Ballynanty (Credit Union),269
Kileely Rd (Opp Health Centre),270
Shelbourne Rd (Park),271
Ennis Rd (Moravan Hse Union Cross),272
Edward St (Jctn of Wolfe Tone St),273
Parnell St (Ladbrokes),274
New Rd (S Coffee),275
Pennywell (Limerick Paint Supplies),276
Clare St (Twin Oaks B&B),277
Castletroy Shopping Centre,278
Monaleen (Opp Hazel Hall),279
Schoolhouse Road (Monaleen GAA),280
Schoolhouse Rd (Kylemore),281
Golf Links Rd (Fox Hollow),282
Golf Links Rd (Tudor House),283
Dublin Rd (Frank Hogan Motors),284
Pennywell Rd (Opp Laundrette),285
Parnell St (Colbert Station),286
Barrington St (At No 24),287
